,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
961,34,New Jersey,7,Camden,3.0,34,7
962,34,New Jersey,7,Camden,3.0,34,7
963,34,New Jersey,25,Monmouth,8.0,34,25
964,35,New Mexico,1,Bernalillo,2.0,35,1
965,39,Ohio,35,Cuyahoga,9.0,39,35
966,40,Oklahoma,109,Oklahoma,7.0,40,109
974,51,Virginia,770,Roanoke City,13.0,51,770
975,53,Washington,33,King,11.0,53,33
976,53,Washington,63,Spokane,16.0,53,63
977,54,West Virginia,29,Hancock,3.0,54,29
978,72,Puerto Rico,127,San Juan,17.0,72,127
979,72,Puerto Rico,127,San Juan,19.0,72,127
980,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,60.0,80,2
981,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,28.0,80,2
982,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,0.0,80,2
983,1,Alabama,73,Jefferson,0.0,1,73
984,4,Arizona,13,Maricopa,25.0,4,13
985,4,Arizona,13,Maricopa,8.0,4,13
986,4,Arizona,13,Maricopa,8.0,4,13
987,4,Arizona,19,Pima,11.0,4,19
988,4,Arizona,19,Pima,22.0,4,19
1000,8,Colorado,1,Adams,14.0,8,1
1001,8,Colorado,1,Adams,11.0,8,1
1002,9,Connecticut,1,Fairfield,7.0,9,1
1003,12,Florida,115,Sarasota,15.0,12,115
1004,17,Illinois,31,Cook,24.0,17,31
1005,17,Illinois,201,Winnebago,13.0,17,201
1006,18,Indiana,63,Hendricks,8.0,18,63
1007,19,Iowa,113,Linn,1.0,19,113
1008,20,Kansas,173,Sedgwick,8.0,20,173
1009,25,Massachusetts,13,Hampden,8.0,25,13
1010,25,Massachusetts,17,Middlesex,8.0,25,17
1011,27,Minnesota,37,Dakota,3.0,27,37
1012,30,Montana,29,Flathead,16.0,30,29
1013,32,Nevada,31,Washoe,17.0,32,31
1014,32,Nevada,31,Washoe,5.0,32,31
1015,36,New York,55,Monroe,8.0,36,55
1016,37,North Carolina,67,Forsyth,5.0,37,67
1017,39,Ohio,81,Jefferson,10.0,39,81
1018,39,Ohio,151,Stark,7.0,39,151
1019,41,Oregon,39,Lane,8.0,41,39
1026,51,Virginia,59,Fairfax,8.0,51,59
1027,51,Virginia,760,Richmond City,6.0,51,760
1028,53,Washington,53,Pierce,3.0,53,53
1029,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,13.0,80,2
1030,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,8.0,80,2
1031,2,Alaska,20,Anchorage ,15.0,2,20
1032,4,Arizona,13,Maricopa,11.0,4,13
1033,4,Arizona,13,Maricopa,9.0,4,13
1034,4,Arizona,13,Maricopa,22.0,4,13
1035,4,Arizona,19,Pima,13.0,4,19
1040,8,Colorado,69,Larimer,7.0,8,69
1041,9,Connecticut,1,Fairfield,14.0,9,1
1042,9,Connecticut,3,Hartford,6.0,9,3
1043,9,Connecticut,9,New Haven,7.0,9,9
1044,11,District Of Columbia,1,District of Columbia,22.0,11,1
1045,12,Florida,31,Duval,16.0,12,31
1046,12,Florida,86,Miami-Dade,7.0,12,86
1047,12,Florida,86,Miami-Dade,18.0,12,86
1048,12,Florida,86,Miami-Dade,8.0,12,86
1049,12,Florida,95,Orange,10.0,12,95
1050,12,Florida,95,Orange,6.0,12,95
1051,12,Florida,103,Pinellas,7.0,12,103
1052,12,Florida,115,Sarasota,19.0,12,115
1053,13,Georgia,89,DeKalb,7.0,13,89
1054,13,Georgia,223,Paulding,5.0,13,223
1055,17,Illinois,167,Sangamon,10.0,17,167
1056,17,Illinois,201,Winnebago,6.0,17,201
1057,19,Iowa,153,Polk,9.0,19,153
1058,20,Kansas,107,Linn,2.0,20,107
1059,20,Kansas,173,Sedgwick,6.0,20,173
1060,25,Massachusetts,27,Worcester,6.0,25,27
1061,26,Michigan,163,Wayne,7.0,26,163
1062,27,Minnesota,3,Anoka,0.0,27,3
1063,27,Minnesota,37,Dakota,3.0,27,37
1064,27,Minnesota,123,Ramsey,15.0,27,123
1065,27,Minnesota,137,Saint Louis,2.0,27,137
1066,30,Montana,31,Gallatin,13.0,30,31
1067,30,Montana,111,Yellowstone,30.0,30,111
1068,32,Nevada,3,Clark,0.0,32,3
1069,32,Nevada,31,Washoe,6.0,32,31
1070,34,New Jersey,3,Bergen,5.0,34,3
1071,34,New Jersey,39,Union,7.0,34,39
1072,35,New Mexico,1,Bernalillo,9.0,35,1
1073,36,New York,1,Albany,7.0,36,1
1074,36,New York,5,Bronx,10.0,36,5
1075,36,New York,47,Kings,14.0,36,47
1076,37,North Carolina,81,Guilford,13.0,37,81
1077,39,Ohio,35,Cuyahoga,10.0,39,35
1078,39,Ohio,81,Jefferson,10.0,39,81
1079,39,Ohio,81,Jefferson,6.0,39,81
1080,39,Ohio,113,Montgomery,8.0,39,113
1081,40,Oklahoma,27,Cleveland,14.0,40,27
1092,51,Virginia,59,Fairfax,7.0,51,59
1093,72,Puerto Rico,127,San Juan,28.0,72,127
1094,80,Country Of Mexico,6,CHIHUAHUA STATE,14.0,80,6
1095,80,Country Of Mexico,6,CHIHUAHUA STATE,25.0,80,6
1097,39,Ohio,85,Lake,6.0,39,85
1099,30,Montana,31,Gallatin,6.0,30,31
1101,32,Nevada,31,Washoe,5.0,32,31
1102,72,Puerto Rico,127,San Juan,10.0,72,127
1103,17,Illinois,31,Cook,3.0,17,31
1105,32,Nevada,3,Clark,10.0,32,3
1106,32,Nevada,3,Clark,13.0,32,3
1107,34,New Jersey,39,Union,5.0,34,39
1109,51,Virginia,700,Newport News City,2.0,51,700
1110,4,Arizona,19,Pima,8.0,4,19
1112,1,Alabama,73,Jefferson,9.0,1,73
1114,34,New Jersey,39,Union,9.0,34,39
1116,25,Massachusetts,27,Worcester,3.0,25,27
1117,25,Massachusetts,27,Worcester,5.0,25,27
1118,32,Nevada,31,Washoe,9.0,32,31
1119,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,2.0,80,2
1121,36,New York,101,Steuben,2.0,36,101
1122,25,Massachusetts,9,Essex,5.0,25,9
1123,36,New York,29,Erie,2.0,36,29
1124,4,Arizona,13,Maricopa,8.0,4,13
1125,20,Kansas,173,Sedgwick,7.0,20,173
1128,2,Alaska,20,Anchorage ,8.0,2,20
1129,51,Virginia,760,Richmond City,2.0,51,760
1130,51,Virginia,510,Alexandria City,8.0,51,510
1131,4,Arizona,13,Maricopa,22.0,4,13
1132,4,Arizona,13,Maricopa,11.0,4,13
1133,4,Arizona,13,Maricopa,7.0,4,13
1141,8,Colorado,1,Adams,7.0,8,1
1142,12,Florida,86,Miami-Dade,6.0,12,86
1143,12,Florida,86,Miami-Dade,17.0,12,86
1144,13,Georgia,89,DeKalb,2.0,13,89
1145,13,Georgia,223,Paulding,2.0,13,223
1146,17,Illinois,31,Cook,8.0,17,31
1147,17,Illinois,31,Cook,5.0,17,31
1148,18,Indiana,3,Allen,3.0,18,3
1149,19,Iowa,153,Polk,5.0,19,153
1150,20,Kansas,173,Sedgwick,3.0,20,173
1151,21,Kentucky,111,Jefferson,7.0,21,111
1152,24,Maryland,510,Baltimore (City),8.0,24,510
1153,25,Massachusetts,17,Middlesex,6.0,25,17
1154,30,Montana,111,Yellowstone,3.0,30,111
1155,32,Nevada,3,Clark,15.0,32,3
1156,32,Nevada,31,Washoe,8.0,32,31
1157,32,Nevada,31,Washoe,10.0,32,31
1158,32,Nevada,31,Washoe,3.0,32,31
1159,34,New Jersey,3,Bergen,8.0,34,3
1160,35,New Mexico,1,Bernalillo,15.0,35,1
1161,36,New York,1,Albany,5.0,36,1
1162,36,New York,61,New York,8.0,36,61
1163,37,North Carolina,183,Wake,19.0,37,183
1164,39,Ohio,49,Franklin,5.0,39,49
1165,39,Ohio,85,Lake,7.0,39,85
1166,39,Ohio,153,Summit,6.0,39,153
1171,47,Tennessee,157,Shelby,10.0,47,157
1179,51,Virginia,59,Fairfax,11.0,51,59
1180,51,Virginia,59,Fairfax,5.0,51,59
1181,51,Virginia,710,Norfolk City,3.0,51,710
1182,51,Virginia,760,Richmond City,1.0,51,760
1183,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,1.0,80,2
1184,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,3.0,80,2
1185,80,Country Of Mexico,6,CHIHUAHUA STATE,14.0,80,6
1186,80,Country Of Mexico,6,CHIHUAHUA STATE,8.0,80,6
1187,30,Montana,31,Gallatin,5.0,30,31
1188,2,Alaska,20,Anchorage ,11.0,2,20
1189,8,Colorado,31,Denver,7.0,8,31
1190,17,Illinois,31,Cook,2.0,17,31
1192,4,Arizona,19,Pima,6.0,4,19
1193,39,Ohio,85,Lake,2.0,39,85
1196,8,Colorado,1,Adams,5.0,8,1
1201,4,Arizona,19,Pima,8.0,4,19
1206,4,Arizona,19,Pima,3.0,4,19
1207,1,Alabama,73,Jefferson,0.0,1,73
1208,30,Montana,111,Yellowstone,8.0,30,111
1210,34,New Jersey,17,Hudson,6.0,34,17
1211,34,New Jersey,7,Camden,1.0,34,7
1213,20,Kansas,173,Sedgwick,6.0,20,173
1214,32,Nevada,31,Washoe,3.0,32,31
1215,32,Nevada,31,Washoe,13.0,32,31
1217,13,Georgia,89,DeKalb,8.0,13,89
1218,24,Maryland,23,Garrett,2.0,24,23
1221,1,Alabama,73,Jefferson,7.0,1,73
1223,29,Missouri,510,St. Louis City,3.0,29,510
